F3. How much control should UX researchers have over AI-supported documentation?,count
"Shared control: AI may automate some low-risk tasks, but humans approve important outputs.",1
"High control: AI may suggest, but humans should approve all changes.",3
Full control: AI should only act when explicitly instructed.,3
