item,column,count,percent
Business / management,A9[SQ004]. What is your disciplinary or educational background? [Business / management],0,0.0
Other,A9[other]. What is your disciplinary or educational background? [Other],1,5.88235294117647
Communication / design / media studies,A9[SQ002]. What is your disciplinary or educational background? [Communication / design / media studies],3,17.647058823529413
"Social sciences (e.g., psychology, education)","A9[SQ001]. What is your disciplinary or educational background? [Social sciences (e.g., psychology, education)]",5,29.411764705882355
"Technical (e.g., computer science / software engineering)","A9[SQ003]. What is your disciplinary or educational background? [Technical (e.g., computer science / software engineering)]",9,52.94117647058824
