"A7. Is documentation of user research required in your domain? (e.g., because of regulations or audits) Hint: With the term “documentation” we mean any record of user research work, including research plans, notes, findings, feedback, reports, insight summaries, or stakeholder communication.",count
No,2
Yes,10
